industry,ai_tool,adoption_rate,daily_active_users,year
Transportation,ChatGPT,13.47,8641,2024
Education,ChatGPT,20.85,5940,2023
Technology,ChatGPT,96.13,4229,2023
Agriculture,Claude,14.49,4911,2024
Education,ChatGPT,50.93,3143,2024
Education,Bard,23.5,7360,2024
Finance,Midjourney,7.07,1171,2024
Agriculture,Midjourney,59.1,8722,2024
Finance,Stable Diffusion,6.76,7881,2024
Manufacturing,Midjourney,29.51,2667,2024
Transportation,Midjourney,64.96,1890,2024
Agriculture,Bard,33.85,1874,2024
Retail,ChatGPT,52.89,2768,2024
Transportation,Bard,13.68,8540,2024
Healthcare,Stable Diffusion,41.55,9170,2024
Finance,ChatGPT,99.75,3743,2024
Retail,Midjourney,54.92,9104,2023
Healthcare,Stable Diffusion,53.3,7504,2024
Technology,ChatGPT,94.87,7926,2024
Healthcare,Claude,41.99,8255,2024
Manufacturing,Bard,63.22,1558,2024
Healthcare,ChatGPT,49.9,8281,2024
Manufacturing,Midjourney,53.57,8552,2024
Manufacturing,Midjourney,37.03,8794,2024
Transportation,ChatGPT,73.37,3168,2023
Finance,Midjourney,14.91,9799,2024
Finance,ChatGPT,28.22,8129,2024
Manufacturing,ChatGPT,14.97,6704,2024
Finance,Bard,87.78,1044,2024
Transportation,Midjourney,14.19,6234,2024
Technology,Midjourney,22.89,8549,2024
Finance,Stable Diffusion,12.95,2847,2024
Retail,Midjourney,7.56,9915,2024
Transportation,ChatGPT,47.92,9001,2024
Healthcare,ChatGPT,63.41,4257,2024
Retail,Stable Diffusion,95.64,9694,2024
Manufacturing,ChatGPT,15.45,424,2023
Manufacturing,Midjourney,37.74,1056,2024
Technology,ChatGPT,1.77,9867,2024
Healthcare,ChatGPT,13.11,9229,2024
Retail,Stable Diffusion,56.78,5113,2024
Manufacturing,Claude,55.52,8480,2024
Technology,Midjourney,92.73,7438,2023
Healthcare,ChatGPT,62.44,696,2024
Education,Claude,76.74,1650,2024
Education,Bard,77.22,3972,2024
Education,Midjourney,85.68,6140,2024
Healthcare,Midjourney,67.49,1955,2024
Manufacturing,Stable Diffusion,47.14,3309,2023
Manufacturing,Stable Diffusion,48.13,9320,2023
Agriculture,Midjourney,60.13,5229,2023
Transportation,Midjourney,14.22,8916,2023
Technology,Bard,87.83,969,2024
Manufacturing,Midjourney,24.97,1254,2024
Healthcare,ChatGPT,81.68,9209,2024
Healthcare,ChatGPT,5.26,8214,2024
Transportation,ChatGPT,96.56,659,2023
Retail,ChatGPT,14.29,3661,2023
Retail,Midjourney,24,5076,2023
Education,Bard,25.93,1926,2024
Finance,Bard,82.83,446,2023
Technology,ChatGPT,5.34,9556,2024
Retail,ChatGPT,45.93,7460,2024
Technology,Stable Diffusion,48.69,2413,2024
Agriculture,Bard,73.41,9452,2024
Retail,ChatGPT,83.5,1141,2024
Technology,ChatGPT,47.51,1895,2023
Transportation,ChatGPT,12.3,9801,2023
Retail,Claude,1.13,3361,2024
Manufacturing,Stable Diffusion,32.76,6633,2024
Agriculture,ChatGPT,38.93,1590,2024
Healthcare,Stable Diffusion,11.29,1452,2023
Education,Bard,42.77,4996,2024
Finance,Bard,55.91,3989,2024
Retail,Stable Diffusion,82.35,5511,2024
Transportation,Midjourney,74.81,6942,2024
Manufacturing,Stable Diffusion,49.54,5452,2024
Healthcare,Midjourney,9.42,6892,2023
Transportation,Stable Diffusion,63.85,7169,2024
Manufacturing,ChatGPT,79.46,3806,2023
Healthcare,Midjourney,82.15,8487,2023
Finance,ChatGPT,44.34,8581,2023
Technology,ChatGPT,11.34,3341,2023
Transportation,ChatGPT,8.29,4442,2023
Transportation,ChatGPT,87.77,6160,2024
Retail,ChatGPT,98.33,3539,2024
Healthcare,ChatGPT,56.16,855,2024
Manufacturing,Midjourney,89.54,9372,2024
Agriculture,ChatGPT,17.75,5950,2024
Healthcare,Bard,25.99,8132,2023
Education,ChatGPT,69.44,5164,2023
Education,Claude,41.64,7993,2024
Transportation,Bard,75.15,2810,2024
Agriculture,Stable Diffusion,21.05,1067,2024
Retail,ChatGPT,14.37,369,2024
Retail,Bard,5.38,8385,2024
Finance,ChatGPT,99.52,9103,2024
Education,Bard,88.32,7630,2024
