job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,,salary_range
AI00027,ML Ops Engineer,80979,USD,MI,CT,Australia,S,India,50,"Hadoop, Linux, Git, Scala",Master,2,Media,18/11/2024,18/1/2025,2109,7.7,TechCorp Inc,,60Ð90k
AI00064,AI Software Engineer,99972,USD,MI,PT,Australia,M,Canada,50,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,20/2/2024,15/3/2024,799,6.5,Cloud AI Solutions,,90Ð120k
AI00082,ML Ops Engineer,196942,USD,EX,CT,Australia,L,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,1/4/2024,16/4/2024,826,7.5,TechCorp Inc,,160Ð200k
AI00120,AI Product Manager,106633,USD,SE,FT,Australia,M,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,18/5/2024,25/6/2024,1243,5.5,Algorithmic Solutions,,90Ð120k
AI00147,AI Research Scientist,224919,USD,EX,FL,Australia,M,Switzerland,100,"Kubernetes, Deep Learning, PyTorch",Associate,19,Education,2/12/2024,24/1/2025,911,5.7,TechCorp Inc,,200Ð250k
AI00152,Deep Learning Engineer,66384,USD,MI,CT,Australia,S,Israel,0,"Git, Tableau, Hadoop, Computer Vision",Associate,2,Government,21/4/2024,24/5/2024,1421,9.1,Autonomous Tech,,60Ð90k
AI00194,AI Specialist,74408,USD,EN,CT,Australia,M,Norway,100,"TensorFlow, Docker, R, NLP, Java",Associate,1,Automotive,7/8/2024,24/9/2024,1036,7.9,Machine Intelligence Group,,60Ð90k
AI00218,NLP Engineer,59644,USD,EN,PT,Australia,M,Australia,0,"R, Docker, GCP, Java",Associate,0,Consulting,20/4/2024,27/5/2024,646,8.7,Future Systems,,30Ð60k
AI00271,Deep Learning Engineer,64400,USD,EN,CT,Australia,L,Australia,0,"AWS, R, Python",Bachelor,1,Transportation,20/10/2024,19/12/2024,1385,8.7,AI Innovations,,60Ð90k
AI00299,Principal Data Scientist,178470,USD,EX,FT,Australia,L,Singapore,100,"Python, TensorFlow, Git, PyTorch, MLOps",PhD,18,Energy,16/2/2024,23/3/2024,1577,7.8,Quantum Computing Inc,,160Ð200k
AI00305,Research Scientist,63711,USD,EN,PT,Australia,M,India,0,"Kubernetes, Scala, PyTorch, AWS, Docker",Master,0,Healthcare,11/8/2024,21/9/2024,540,7.5,Future Systems,,60Ð90k
AI00306,Data Analyst,64384,USD,EN,PT,Australia,L,Finland,0,"Python, Kubernetes, Scala, Linux",PhD,0,Consulting,23/2/2024,31/3/2024,887,6.3,Smart Analytics,,60Ð90k
AI00328,AI Research Scientist,81908,USD,EN,FL,Australia,L,Australia,100,"Mathematics, PyTorch, Azure",Associate,0,Consulting,4/4/2025,3/5/2025,1599,5.7,Predictive Systems,,60Ð90k
AI00348,ML Ops Engineer,92858,USD,SE,FL,Australia,S,Australia,50,"Docker, AWS, Computer Vision, MLOps",Associate,6,Manufacturing,16/12/2024,29/1/2025,1124,8.9,Smart Analytics,,90Ð120k
AI00360,Autonomous Systems Engineer,77926,USD,EN,PT,Australia,M,Sweden,0,"Kubernetes, Data Visualization, Computer Vision, SQL",PhD,1,Transportation,28/7/2024,12/8/2024,1269,7,Digital Transformation LLC,,60Ð90k
AI00372,Data Engineer,182747,USD,EX,FT,Australia,S,China,100,"R, Hadoop, Data Visualization",Bachelor,15,Gaming,5/10/2024,13/12/2024,2290,7.2,Digital Transformation LLC,,160Ð200k
AI00390,ML Ops Engineer,63685,USD,EN,FT,Australia,S,Australia,0,"Data Visualization, Python, TensorFlow",Associate,0,Technology,6/1/2025,14/3/2025,912,6.6,DataVision Ltd,,60Ð90k
AI00411,Head of AI,119767,USD,SE,FL,Australia,L,United States,100,"Git, Linux, Python",Bachelor,5,Energy,12/10/2024,26/11/2024,1702,9.6,Predictive Systems,,90Ð120k
AI00430,Head of AI,162221,USD,SE,FL,Australia,L,Australia,50,"MLOps, R, Tableau",PhD,9,Energy,15/10/2024,6/11/2024,1439,8.2,Autonomous Tech,,160Ð200k
AI00493,Principal Data Scientist,104397,USD,SE,FT,Australia,S,Australia,50,"Mathematics, NLP, Deep Learning, Python",PhD,8,Government,27/6/2024,22/8/2024,1903,5.7,Digital Transformation LLC,,90Ð120k
AI00497,AI Software Engineer,161796,USD,SE,FL,Australia,L,Australia,100,"Spark, PyTorch, TensorFlow, Scala",Associate,9,Finance,22/11/2024,8/1/2025,1838,7,Advanced Robotics,,160Ð200k
AI00524,AI Product Manager,134087,USD,EX,FT,Australia,S,Australia,0,"Python, Scala, TensorFlow, Spark, GCP",PhD,12,Consulting,1/7/2024,24/7/2024,968,5.9,Neural Networks Co,,120Ð160k
AI00530,Principal Data Scientist,140113,USD,SE,CT,Australia,M,South Korea,50,"PyTorch, Kubernetes, R",Master,5,Telecommunications,4/5/2024,15/7/2024,1430,9.1,Algorithmic Solutions,,120Ð160k
AI00547,Machine Learning Engineer,115383,USD,SE,FT,Australia,M,South Korea,50,"Spark, GCP, R, Hadoop, Data Visualization",PhD,8,Education,25/7/2024,4/9/2024,1711,6.4,Future Systems,,90Ð120k
AI00632,Computer Vision Engineer,61587,USD,EN,FT,Australia,M,Australia,50,"GCP, Git, PyTorch",Associate,0,Transportation,18/7/2024,4/8/2024,1531,6.2,Cognitive Computing,,60Ð90k
AI00639,Principal Data Scientist,89020,USD,MI,CT,Australia,S,Australia,50,"Spark, PyTorch, Statistics",PhD,2,Technology,10/4/2024,20/5/2024,1107,9.3,TechCorp Inc,,60Ð90k
AI00654,AI Consultant,106477,USD,SE,CT,Australia,M,Australia,0,"Azure, Java, NLP, Spark, Computer Vision",PhD,7,Media,29/6/2024,31/7/2024,976,7.8,Quantum Computing Inc,,90Ð120k
AI00678,Data Analyst,60380,USD,EN,FL,Australia,M,Australia,0,"Scala, Kubernetes, Computer Vision",Associate,1,Technology,7/12/2024,13/1/2025,888,5.6,Advanced Robotics,,60Ð90k
AI00683,AI Product Manager,193865,USD,EX,CT,Australia,M,Australia,50,"Linux, Docker, Data Visualization, SQL, NLP",Master,11,Manufacturing,27/1/2024,19/2/2024,1894,8,DeepTech Ventures,,160Ð200k
